AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.159;0.088;0;0;4103
0.882;0.5;0;0;3230
0.162;0.102;0;0;3230
0.198;0.102;0;0;4103
0.502;0.292;0;0;4103
0.183;0.112;0;0;6568
0.225;0.138;0;0;4681
0.538;0.32;0;0;3401
0.117;0.074;0;0;3230
0.182;0.086;0;0;3230
0.378;0.16;0;0;4727
5.24;2.388;0;0;3401
7.264;2.276;0;0;3277
0.296;0.128;0;0;3214
0.128;0.082;0;0;3245
0.152;0.096;0;0;5008
0.337;0.17;0;0;4977
0.31;0.146;0;0;4915
0.293;0.172;0;0;3261
0.279;0.13;0;0;4774
0.37;0.216;0;0;3214
0.33;0.142;0;0;4961
0.257;0.16;0;0;4634
0.438;0.264;0;0;3261
0.143;0.092;0;0;4977
0.423;0.188;0;0;3245
1.652;1.624;0;0;3011
0.466;0.198;0;0;4899
0.394;0.224;0;0;4993
0.308;0.164;0;0;3245
0.33;0.134;0;0;4103
0.16;0.108;0;0;4727
0.181;0.09;0;0;5008
0.286;0.176;0;0;3230
0.265;0.12;0;0;3214
0.188;0.09;0;0;3230
1.039;1.002;0;0;3011
5.873;2.158;0;0;4915
0.792;0.296;0;0;3230
4.926;1.852;0;0;3339
0.117;0.074;0;0;4946
0.828;0.296;0;0;3230
0.515;0.212;0;0;4946
0.212;0.134;0;0;4946
0.295;0.158;0;0;4961
0.268;0.164;0;0;4088
0.207;0.136;0;0;4447
4.867;2.14;0;0;4961
0.246;0.15;0;0;4634
0.437;0.264;0;0;4993
0.437;0.264;0;0;5008
0.261;0.152;0;0;5008
0.357;0.156;0;0;4821
0.506;0.234;0;0;3230
0.289;0.134;0;0;4790
0.344;0.206;0;0;4805
0.343;0.194;0;0;4618
1.732;0.732;0;0;4665
0.607;0.304;0;0;3245
0.282;0.398;0;0;3011
0.531;0.236;0;0;4727
0.436;0.246;0;0;4618
0.421;0.258;0;0;3386
5.595;2.374;0;0;4088
